S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
72.0,87.0,39.0,0.0,78.0,39.0,18.0,9.0,0.0,21.0,0.0,0.0,18.0,66.0,0.0,9.0,0.0,30.0,29.8,938.9600000000002,36.0,60.75,14.666666666666666,4.5,30.0
72.0,81.9,39.9,0.0,88.2,36.0,18.0,8.1,0.0,36.9,0.0,0.0,19.8,59.4,0.9,9.0,0.0,30.0,30.740000000000002,1193.8400000000001,36.0,61.5,15.899999999999999,4.5,30.0
72.0,76.8,40.8,0.0,98.4,33.0,18.0,7.2,0.0,52.8,0.0,0.0,21.6,52.8,1.8,9.0,0.0,30.0,31.68,1448.7200000000003,36.0,62.25,17.133333333333333,4.5,30.0
72.0,71.7,41.7,0.0,108.6,30.0,18.0,6.3,0.0,68.7,0.0,0.0,23.4,46.2,2.7,9.0,0.0,30.0,32.620000000000005,1703.6000000000004,36.0,63.0,18.366666666666667,4.5,30.0
72.0,66.6,42.6,0.0,118.8,27.0,18.0,5.4,0.0,84.6,0.0,0.0,25.2,39.6,3.6,9.0,0.0,30.0,33.56,1958.4800000000002,36.0,63.75,19.6,4.5,30.0
72.0,61.5,43.5,0.0,129.0,24.0,18.0,4.5,0.0,100.5,0.0,0.0,27.0,33.0,4.5,9.0,0.0,30.0,34.5,2213.36,36.0,64.5,20.833333333333332,4.5,30.0
72.0,56.400000000000006,44.4,0.0,139.2,21.0,18.0,3.5999999999999996,0.0,116.4,0.0,0.0,28.8,26.400000000000006,5.4,9.0,0.0,30.0,35.44,2468.2400000000002,36.0,65.25,22.066666666666666,4.5,30.0
72.0,51.300000000000004,45.3,0.0,149.39999999999998,18.0,18.0,2.7,0.0,132.3,0.0,0.0,30.6,19.800000000000004,6.3,9.0,0.0,30.0,36.38,2723.1200000000003,36.0,66.0,23.299999999999997,4.5,30.0
72.0,46.2,46.2,0.0,159.6,15.0,18.0,1.7999999999999998,0.0,148.2,0.0,0.0,32.4,13.200000000000003,7.2,9.0,0.0,30.0,37.32,2978.0000000000005,36.0,66.75,24.53333333333333,4.5,30.0
72.0,41.1,47.1,0.0,169.8,12.0,18.0,0.9000000000000004,0.0,164.1,0.0,0.0,34.2,6.600000000000001,8.1,9.0,0.0,30.0,38.260000000000005,3232.88,36.0,67.5,25.766666666666666,4.5,30.0
72.0,36.0,48.0,0.0,180.0,9.0,18.0,0.0,0.0,180.0,0.0,0.0,36.0,0.0,9.0,9.0,0.0,30.0,39.2,3487.76,36.0,68.25,27.0,4.5,30.0
69.9,36.0,44.1,9.3,172.2,10.8,16.2,0.9,0.0,180.0,0.0,0.0,35.1,6.6,9.0,8.1,0.0,27.0,39.34,3383.5280000000002,39.6,65.775,27.533333333333335,4.05,27.0
67.8,36.0,40.2,18.6,164.4,12.6,14.4,1.8,0.0,180.0,0.0,0.0,34.2,13.2,9.0,7.2,0.0,24.0,39.480000000000004,3279.2960000000003,43.2,63.3,28.066666666666666,3.6,24.0
65.7,36.0,36.3,27.900000000000002,156.6,14.4,12.6,2.7,0.0,180.0,0.0,0.0,33.3,19.799999999999997,9.0,6.3,0.0,21.0,39.620000000000005,3175.0640000000003,46.8,60.825,28.6,3.15,21.0
63.6,36.0,32.4,37.2,148.8,16.2,10.8,3.6,0.0,180.0,0.0,0.0,32.4,26.4,9.0,5.4,0.0,18.0,39.760000000000005,3070.8320000000003,50.4,58.35,29.133333333333333,2.7,18.0
61.5,36.0,28.5,46.5,141.0,18.0,9.0,4.5,0.0,180.0,0.0,0.0,31.5,33.0,9.0,4.5,0.0,15.0,39.900000000000006,2966.6000000000004,54.0,55.875,29.666666666666668,2.25,15.0
59.4,36.0,24.6,55.800000000000004,133.2,19.8,7.199999999999999,5.4,0.0,180.0,0.0,0.0,30.6,39.599999999999994,9.0,3.5999999999999996,0.0,12.0,40.04,2862.3680000000004,57.6,53.4,30.200000000000003,1.7999999999999998,12.0
57.3,36.0,20.7,65.10000000000001,125.4,21.6,5.4,6.3,0.0,180.0,0.0,0.0,29.7,46.199999999999996,9.0,2.7,0.0,9.0,40.18,2758.136,61.2,50.925,30.733333333333334,1.35,9.0
55.2,36.0,16.8,74.4,117.6,23.4,3.5999999999999996,7.2,0.0,180.0,0.0,0.0,28.8,52.8,9.0,1.7999999999999998,0.0,6.0,40.32,2653.904,64.8,48.45,31.26666666666667,0.8999999999999999,6.0
